"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-2.1698526e-05,3.4663895e-08,0,3.8,0.40000001,0
-2.5926871e-05,-8.8899278e-06,0,2.7999849,0.40000001,0
3.1695872e-06,-8.7723511e-06,0,2.815268,0.42151758,0
-1.1848249e-05,-2.8185199e-05,0,2.8296173,0.44420925,0
1.6010111e-06,8.2816359e-06,0,2.8427279,0.4676384,0
-7.5723465e-06,-2.5133928e-05,0,2.854562,0.49173754,0
-3.9801248e-06,-1.4906002e-05,0,2.8650856,0.51643711,0
-7.1966169e-06,-2.9933075e-05,0,2.8742683,0.54166603,0
-2.9855687e-06,-2.1703814e-08,0,2.8820834,0.5673514,0
1.1743242e-06,6.6823218e-06,0,2.8885086,0.59341919,0
-2.4656872e-06,-1.5729018e-05,0,2.8935251,0.61979437,0
1.2646777e-06,-8.7382205e-06,0,2.8971188,0.64640075,0
2.1057541e-07,-1.7970128e-06,0,2.8992791,0.67316169,0
1.8796842e-07,-2.259989e-05,0,2.9000001,0.69999999,0
-1.641191e-06,7.9762349e-06,0,2.8992791,0.72683829,0
4.3210589e-06,-3.2496639e-05,0,2.8971188,0.75359923,0
1.8009899e-06,-9.0236726e-06,0,2.8935251,0.78020567,0
-6.3144416e-06,3.0787745e-05,0,2.8885086,0.80658078,0
3.0887218e-06,-8.3433488e-06,0,2.8820834,0.83264863,0
5.6149372e-07,-2.1806293e-06,0,2.8742683,0.858334,0
1.2866498e-06,-3.6864512e-06,0,2.8650856,0.88356286,0
4.2726543e-07,-1.2949395e-06,0,2.854562,0.90826243,0
-2.5008405e-06,4.2169959e-06,0,2.8427279,0.9323616,0
2.7058481e-06,-4.5378024e-06,0,2.8296173,0.95579076,0
1.5907318e-06,-2.4627918e-06,0,2.815268,0.97848243,0
-1.3335715e-06,1.586333e-06,0,2.7997215,1.0003711,0
3.7391151e-06,-4.6435821e-06,0,2.7830222,1.0213938,0
2.5096215e-06,-2.6919861e-06,0,2.7652187,1.0414898,0
1.7526957e-06,-1.9911752e-06,0,2.7463622,1.0606012,0
6.5713211e-06,-6.0000748e-06,0,2.7265069,1.0786729,0
4.6644755e-06,-3.8091882e-06,0,2.7057104,1.0956528,0
1.2396263e-06,-9.59766e-07,0,2.6840324,1.1114919,0
1.6272713e-06,-1.3047855e-06,0,2.6615355,1.1261446,0
2.7332569e-06,-1.5114616e-06,0,2.6382844,1.1395686,0
6.0802909e-06,-3.2664718e-06,0,2.6143463,1.1517252,0
-1.2510372e-06,4.1470096e-07,0,2.5897901,1.1625794,0
3.2417161e-06,-1.395969e-06,0,2.5646868,1.1720998,0
9.5190916e-07,-1.114612e-07,0,2.5391088,1.1802591,0
1.8739451e-06,-3.4253819e-07,0,2.5131295,1.1870335,0
-6.1387937e-07,-1.0548076e-07,0,2.486824,1.1924039,0
-1.1916731e-06,1.4178532e-07,0,2.4602683,1.1963544,0
6.0578723e-06,-2.2327426e-07,0,2.4335389,1.1988739,0
1.2862369e-06,4.4840451e-08,0,2.4067125,1.199955,0
-1.3481449e-06,-1.1551664e-07,0,2.3798671,1.1995945,0
2.7501051e-06,3.5013286e-07,0,2.3530796,1.1977936,0
-1.1116065e-06,-1.0123998e-07,0,2.3264272,1.1945574,0
4.8951807e-07,-3.0392187e-08,0,2.2999871,1.1898953,0
3.0717538e-06,9.9175634e-07,0,2.2738354,1.1838207,0
-4.4463563e-06,-1.6431283e-06,0,2.2480474,1.1763512,0
-6.215098e-07,-2.3890149e-07,0,2.2226975,1.1675081,0
1.400728e-06,6.8850301e-07,0,2.1978588,1.1573172,0
3.1102518e-06,1.5562293e-06,0,2.1736031,1.1458076,0
7.1632951e-07,3.6556102e-07,0,2.1500001,1.1330127,0
5.1550933e-07,3.7594046e-07,0,2.1271176,1.1189693,0
1.3990719e-06,1.1918719e-06,0,2.1050222,1.1037179,0
1.8199567e-07,2.3253646e-07,0,2.0837774,1.0873024,0
4.9157308e-07,4.6894243e-07,0,2.0634441,1.0697703,0
2.5693771e-06,2.8918917e-06,0,2.0440812,1.0511721,0
8.1729141e-08,1.3618396e-07,0,2.0257447,1.0315614,0
1.0785334e-06,1.3679763e-06,0,2.008487,1.0109946,0
3.4064149e-07,4.110515e-07,0,1.9923583,0.98953116,0
4.7114361e-07,8.3282566e-07,0,1.977405,0.96723294,0
-1.2694645e-07,1.8750313e-07,0,1.96367,0.94416416,0
2.7076669e-07,6.3342213e-07,0,1.9511931,0.92039144,0
2.2884001e-07,5.4437425e-07,0,1.9400103,0.89598328,0
4.7547465e-07,1.350908e-06,0,1.9301537,0.87101007,0
-7.2521186e-07,-2.1238041e-06,0,1.9216518,0.8455438,0
-4.3156882e-07,-1.2034867e-06,0,1.9145291,0.8196578,0
4.0558874e-08,3.8008261e-07,0,1.9088061,0.79342687,0
-1.890394e-08,4.3827703e-07,0,1.9044994,0.76692659,0
1.631433e-07,2.3941429e-06,0,1.9016213,0.7402333,0
1.0456812e-07,3.1397774e-06,0,1.9001802,0.71342397,0
-1.265919e-08,1.0630998e-06,0,1.9001802,0.68657601,0
-1.9284606e-07,2.9023008e-06,0,1.9016213,0.65976673,0
-8.3827587e-08,6.1064617e-07,0,1.9044994,0.63307345,0
2.5186671e-07,-9.4048494e-07,0,1.9088061,0.6065731,0
7.8055137e-08,-1.5162651e-07,0,1.9145291,0.58034217,0
-4.5315738e-07,1.3165488e-06,0,1.9216518,0.55445623,0
-6.7984496e-07,2.2103213e-06,0,1.9301537,0.52898991,0
-1.1578372e-07,1.0573572e-07,0,1.9400103,0.5040167,0
-2.0157107e-07,6.101792e-07,0,1.9511931,0.47960854,0
-1.390562e-06,3.21833e-06,0,1.96367,0.45583582,0
-5.0143067e-06,4.035403e-06,0,1.977405,0.43276709,0
3.3507604e-05,7.659815e-07,0,1.9923583,0.41046885,0
1.4811012,0.27583557,0,2.0002251,0.40000001,0
0.0014535139,-7.7871962e-05,0,0,0.40000001,0
0.00012934039,-7.0177971e-06,0,0,0,0
5.0969727e-05,2.1905683e-08,0,3.8,0,0
-0.00011399869,-3.6286693e-07,0,1.9,0,0
1.1579319e-05,2.7528264e-08,0,1.1621326,0.40000001,0
1.6959959e-05,-2.3479896e-07,0,3.2222693,0.40000001,0
-7.0954928e-05,1.5161201e-07,0,2.8499999,0,0
3.5012243e-05,1.8278551e-07,0,0.94999999,0,0
-7.2278417e-05,9.7123319e-08,0,1.5811789,0.40000001,0
-4.635569e-05,4.1293538e-07,0,3.0111272,0.40000001,0
-3.3783383e-06,-6.6113742e-08,0,3.325,0,0
9.2944665e-06,-2.4112242e-07,0,0.58106631,0.40000001,0
2.5196148e-05,1.1222555e-07,0,1.425,0,0
-7.1271905e-05,-8.4774044e-08,0,1.790702,0.40000001,0
-3.3036456e-05,8.150343e-07,0,2.905556,0.40000001,0
-8.0134989e-05,-6.834552e-07,0,0.47499999,0,0
-1.184498e-05,-1.2759091e-07,0,1.8954636,0.40000001,0
-8.8005552e-05,7.1917443e-06,0,2.8527706,0.40000001,0
-3.9498664e-07,-8.1031111e-09,0,1.9478444,0.40000001,0
-8.238446e-05,1.170647e-05,0,2.8263779,0.40000001,0
6.287526e-06,5.7017581e-07,0,1.9740348,0.40000001,0
-3.8822745e-05,2.5816121e-06,0,1.9871299,0.40000001,0
0.52179909,-1.3069468,0,2.4000707,0.70005602,0
-3.3325778e-05,-1.0557791e-07,0,2.375,0,0
14.405205,0.011992476,0,2.448334,0.34785068,0
-7.6077027e-05,1.6790329e-07,0,3.5111346,0.40000001,0
-3.3759272e-05,7.7378131e-09,0,3.5625,0,0
-7.9463563e-05,-2.8479451e-06,0,0.2375,0,0
-7.128677e-05,1.3829275e-06,0,0.29053316,0.40000001,0
-1.3384948e-06,-3.5525677e-08,0,0.87159944,0.40000001,0
-2.4771272e-05,-2.0399305e-08,0,2.1375,0,0
-3.7577734e-05,-1.2838873e-07,0,0.71249998,0,0
-5.8857382e-05,-1.7156597e-07,0,2.6125,0,0
-6.4642365e-05,-2.6526843e-07,0,1.6625,0,0
-2.9501756e-05,9.0677275e-08,0,3.0875001,0,0
1.918326,-2.5177979,0,2.1923285,0.56073362,0
-1.3104426,-3.2523265,0,2.1785724,0.8162142,0
2.7827158,0.90274048,0,2.6040313,0.55536407,0
-3.9084158,-0.92032468,0,2.3898449,0.94982028,0
-2.2171381,2.7355902,0,2.627281,0.80423671,0
-3.0178006e-05,-5.8214535e-08,0,1.1875,0,0
2.7315431e-05,-1.0342281e-07,0,1.3716557,0.40000001,0
25.064257,0.23290507,0,2.2096622,0.24832058,0
18.409666,-9.4402691e-07,0,0,0.2,0
27.173969,-0.012375663,0,3.8,0.2,0
24.22253,0.029297166,0,1.06875,0.19327344,0
25.921688,0.21256492,0,2.6457474,0.22835481,0
26.804306,-0.18446119,0,3.4437499,0.18804891,0
21.521948,-0.1337193,0,0.43579972,0.22445714,0
24.848925,0.029710248,0,1.2891688,0.1955844,0
26.290567,-0.28338471,0,2.9583416,0.18881051,0
22.966541,-0.10659775,0,0.7263329,0.22613879,0
25.35918,0.030684059,0,1.5038351,0.19970886,0
26.434483,-0.30697113,0,3.20625,0.18269382,0
25.765184,0.14230886,0,1.78125,0.18248472,0
26.017162,0.28814408,0,1.9936776,0.18908423,0
