"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-2.6747302e-05,7.3985205e-09,0,3.8,0.40000001,0
-3.5880639e-05,-3.2021183e-06,0,2.7999849,0.40000001,0
9.5568148e-06,-7.8240164e-06,0,2.815268,0.42151758,0
-1.1788697e-05,-2.9759307e-05,0,2.8296173,0.44420925,0
1.8920547e-06,8.9398636e-06,0,2.8427279,0.4676384,0
-8.0006093e-06,-2.7159704e-05,0,2.854562,0.49173754,0
-4.1482954e-06,-1.6082775e-05,0,2.8650856,0.51643711,0
-7.7385184e-06,-3.2323758e-05,0,2.8742683,0.54166603,0
-3.0948484e-06,-5.8468294e-07,0,2.8820834,0.5673514,0
1.3653851e-06,7.3079182e-06,0,2.8885086,0.59341919,0
-2.7191375e-06,-1.7129996e-05,0,2.8935251,0.61979437,0
1.36305e-06,-9.9812769e-06,0,2.8971188,0.64640075,0
2.5799713e-07,-2.112811e-06,0,2.8992791,0.67316169,0
1.3320935e-07,-2.5945836e-05,0,2.9000001,0.69999999,0
-1.7753819e-06,9.0731328e-06,0,2.8992791,0.72683829,0
4.9555165e-06,-3.7942824e-05,0,2.8971188,0.75359923,0
2.129862e-06,-1.0809646e-05,0,2.8935251,0.78020567,0
-7.2234898e-06,3.5974423e-05,0,2.8885086,0.80658078,0
3.7403499e-06,-1.022644e-05,0,2.8820834,0.83264863,0
8.1282838e-07,-2.9164319e-06,0,2.8742683,0.858334,0
1.601134e-06,-4.5565043e-06,0,2.8650856,0.88356286,0
5.796598e-07,-1.7287405e-06,0,2.854562,0.90826243,0
-2.8277975e-06,4.8821694e-06,0,2.8427279,0.9323616,0
3.3795025e-06,-5.6781519e-06,0,2.8296173,0.95579076,0
2.0797593e-06,-3.192948e-06,0,2.815268,0.97848243,0
-1.6165396e-06,1.9443303e-06,0,2.7997215,1.0003711,0
4.7266212e-06,-5.8597602e-06,0,2.7830222,1.0213938,0
3.0854937e-06,-3.3323322e-06,0,2.7652187,1.0414898,0
2.3195109e-06,-2.5987279e-06,0,2.7463622,1.0606012,0
8.2600045e-06,-7.5458938e-06,0,2.7265069,1.0786729,0
5.912395e-06,-4.8291163e-06,0,2.7057104,1.0956528,0
1.5772077e-06,-1.2217808e-06,0,2.6840324,1.1114919,0
2.1353469e-06,-1.695146e-06,0,2.6615355,1.1261446,0
3.5090818e-06,-1.9389788e-06,0,2.6382844,1.1395686,0
7.6907181e-06,-4.1335738e-06,0,2.6143463,1.1517252,0
-1.5645711e-06,5.1685714e-07,0,2.5897901,1.1625794,0
4.1331823e-06,-1.7863699e-06,0,2.5646868,1.1720998,0
1.1955448e-06,-1.4500685e-07,0,2.5391088,1.1802591,0
2.3698972e-06,-4.3901352e-07,0,2.5131295,1.1870335,0
-8.2481142e-07,-1.3752627e-07,0,2.486824,1.1924039,0
-1.6230799e-06,1.8645903e-07,0,2.4602683,1.1963544,0
7.4244003e-06,-2.6607299e-07,0,2.4335389,1.1988739,0
1.5106436e-06,4.9203599e-08,0,2.4067125,1.199955,0
-1.7040138e-06,-1.6548418e-07,0,2.3798671,1.1995945,0
3.3120352e-06,4.2474286e-07,0,2.3530796,1.1977936,0
-1.4111943e-06,-1.5012765e-07,0,2.3264272,1.1945574,0
5.6000817e-07,-5.0749353e-08,0,2.2999871,1.1898953,0
3.6227818e-06,1.1749934e-06,0,2.2738354,1.1838207,0
-5.3731733e-06,-2.0172531e-06,0,2.2480474,1.1763512,0
-8.3083745e-07,-3.2734974e-07,0,2.2226975,1.1675081,0
1.566164e-06,7.6251632e-07,0,2.1978588,1.1573172,0
3.5234657e-06,1.7632238e-06,0,2.1736031,1.1458076,0
6.853665e-07,3.293689e-07,0,2.1500001,1.1330127,0
4.6060939e-07,3.4065715e-07,0,2.1271176,1.1189693,0
1.5004437e-06,1.3070686e-06,0,2.1050222,1.1037179,0
1.3552577e-07,2.2844327e-07,0,2.0837774,1.0873024,0
4.9396039e-07,5.0704699e-07,0,2.0634441,1.0697703,0
2.8956158e-06,3.2960979e-06,0,2.0440812,1.0511721,0
7.9553701e-08,1.5007183e-07,0,2.0257447,1.0315614,0
1.2302146e-06,1.5694194e-06,0,2.008487,1.0109946,0
4.0172023e-07,5.0542559e-07,0,1.9923583,0.98953116,0
5.4693879e-07,9.8512703e-07,0,1.977405,0.96723294,0
-1.2862323e-07,2.5196786e-07,0,1.96367,0.94416416,0
3.4298927e-07,8.0364509e-07,0,1.9511931,0.92039144,0
2.8616765e-07,6.9023116e-07,0,1.9400103,0.89598328,0
5.7203647e-07,1.6293292e-06,0,1.9301537,0.87101007,0
-7.9123288e-07,-2.2600184e-06,0,1.9216518,0.8455438,0
-4.6015316e-07,-1.2182993e-06,0,1.9145291,0.8196578,0
6.0616486e-08,5.5089873e-07,0,1.9088061,0.79342687,0
-1.7899701e-08,6.0820054e-07,0,1.9044994,0.76692659,0
1.8442184e-07,2.8371271e-06,0,1.9016213,0.7402333,0
1.1595969e-07,3.6876104e-06,0,1.9001802,0.71342397,0
-2.2642876e-08,1.3652045e-06,0,1.9001802,0.68657601,0
-2.3782792e-07,3.5088854e-06,0,1.9016213,0.65976673,0
-1.2612013e-07,9.1528932e-07,0,1.9044994,0.63307345,0
2.4956438e-07,-8.5151959e-07,0,1.9088061,0.6065731,0
4.1049752e-08,7.618835e-08,0,1.9145291,0.58034217,0
-5.8376651e-07,1.8004414e-06,0,1.9216518,0.55445623,0
-8.6349445e-07,2.8933594e-06,0,1.9301537,0.52898991,0
-2.4449699e-07,4.8860056e-07,0,1.9400103,0.5040167,0
-3.7729029e-07,1.1398257e-06,0,1.9511931,0.47960854,0
-1.8285461e-06,4.2942929e-06,0,1.96367,0.45583582,0
-5.8751893e-06,5.8021005e-06,0,1.977405,0.43276709,0
4.1433595e-05,2.0722712e-06,0,1.9923583,0.41046885,0
1.7234787,0.27223778,0,2.0002251,0.40000001,0
0.0017086699,-8.5535037e-05,0,0,0.40000001,0
0.00014951751,-9.0546546e-06,0,0,0,0
5.9713941e-05,5.1391957e-08,0,3.8,0,0
-0.00013701392,-4.0014891e-07,0,1.9,0,0
1.3420226e-05,2.9539736e-08,0,1.1621326,0.40000001,0
1.9090456e-05,-2.3582017e-07,0,3.2222693,0.40000001,0
-8.9581757e-05,2.5972139e-07,0,2.8499999,0,0
4.1394884e-05,1.8452764e-07,0,0.94999999,0,0
-8.7754954e-05,1.1232619e-07,0,1.5811789,0.40000001,0
-5.5180779e-05,5.8255961e-07,0,3.0111272,0.40000001,0
