"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-3.6718837e-05,2.4623112e-08,0,3.8,0.40000001,0
-5.388206e-05,-7.3899146e-06,0,2.7999849,0.40000001,0
1.7547742e-05,-1.2873895e-05,0,2.815268,0.42151758,0
-1.9325742e-05,-4.9306091e-05,0,2.8296173,0.44420925,0
1.9827985e-06,1.1970801e-05,0,2.8427279,0.4676384,0
-1.278116e-05,-4.3504133e-05,0,2.854562,0.49173754,0
-6.6873463e-06,-2.5832465e-05,0,2.8650856,0.51643711,0
-1.2000562e-05,-5.1187282e-05,0,2.8742683,0.54166603,0
-5.5859873e-06,-4.5570964e-06,0,2.8820834,0.5673514,0
1.8836565e-06,1.0247711e-05,0,2.8885086,0.59341919,0
-4.1509588e-06,-2.7143993e-05,0,2.8935251,0.61979437,0
2.2643032e-06,-1.5352207e-05,0,2.8971188,0.64640075,0
3.902405e-07,-3.6441741e-06,0,2.8992791,0.67316169,0
4.7351918e-07,-3.997541e-05,0,2.9000001,0.69999999,0
-2.7898332e-06,1.2623429e-05,0,2.8992791,0.72683829,0
7.7755731e-06,-5.6168177e-05,0,2.8971188,0.75359923,0
3.2575408e-06,-1.6091004e-05,0,2.8935251,0.78020567,0
-1.0663343e-05,5.0759809e-05,0,2.8885086,0.80658078,0
5.3400481e-06,-1.4285658e-05,0,2.8820834,0.83264863,0
1.1018842e-06,-4.236048e-06,0,2.8742683,0.858334,0
2.1754704e-06,-6.2518502e-06,0,2.8650856,0.88356286,0
9.5039405e-07,-2.5528263e-06,0,2.854562,0.90826243,0
-3.9932829e-06,6.434148e-06,0,2.8427279,0.9323616,0
4.4354133e-06,-7.3382398e-06,0,2.8296173,0.95579076,0
2.6637331e-06,-4.0881882e-06,0,2.815268,0.97848243,0
-2.0317711e-06,2.4721057e-06,0,2.7997215,1.0003711,0
6.0162702e-06,-7.3958663e-06,0,2.7830222,1.0213938,0
3.8437352e-06,-4.1222111e-06,0,2.7652187,1.0414898,0
2.9709859e-06,-3.2781063e-06,0,2.7463622,1.0606012,0
1.0225528e-05,-9.3606059e-06,0,2.7265069,1.0786729,0
7.3481856e-06,-6.0423927e-06,0,2.7057104,1.0956528,0
1.7528581e-06,-1.4322127e-06,0,2.6840324,1.1114919,0
2.5396689e-06,-2.0891089e-06,0,2.6615355,1.1261446,0
4.3381556e-06,-2.4482442e-06,0,2.6382844,1.1395686,0
9.6574358e-06,-5.2725622e-06,0,2.6143463,1.1517252,0
-2.2439231e-06,7.5999185e-07,0,2.5897901,1.1625794,0
5.3592867e-06,-2.3441112e-06,0,2.5646868,1.1720998,0
1.6435113e-06,-1.7635126e-07,0,2.5391088,1.1802591,0
3.3336141e-06,-6.3141783e-07,0,2.5131295,1.1870335,0
-1.0084217e-06,-2.1077327e-07,0,2.486824,1.1924039,0
-2.1427447e-06,2.2875474e-07,0,2.4602683,1.1963544,0
1.0200843e-05,-3.9700814e-07,0,2.4335389,1.1988739,0
2.2144561e-06,5.0687976e-08,0,2.4067125,1.199955,0
-2.1109247e-06,-2.0794648e-07,0,2.3798671,1.1995945,0
4.661299e-06,5.9636608e-07,0,2.3530796,1.1977936,0
-1.7549236e-06,-1.7083964e-07,0,2.3264272,1.1945574,0
9.3108372e-07,-2.9664514e-08,0,2.2999871,1.1898953,0
5.1092857e-06,1.6460913e-06,0,2.2738354,1.1838207,0
-7.0548158e-06,-2.666618e-06,0,2.2480474,1.1763512,0
-7.8550607e-07,-2.8971826e-07,0,2.2226975,1.1675081,0
2.4738911e-06,1.1977726e-06,0,2.1978588,1.1573172,0
5.0299545e-06,2.5664219e-06,0,2.1736031,1.1458076,0
1.2430997e-06,6.1059058e-07,0,2.1500001,1.1330127,0
9.221672e-07,5.9647857e-07,0,2.1271176,1.1189693,0
2.2021186e-06,1.8728722e-06,0,2.1050222,1.1037179,0
3.9926817e-07,4.3947628e-07,0,2.0837774,1.0873024,0
7.4091804e-07,7.1346358e-07,0,2.0634441,1.0697703,0
3.8539588e-06,4.3981986e-06,0,2.0440812,1.0511721,0
1.4157752e-07,2.4899131e-07,0,2.0257447,1.0315614,0
1.6077782e-06,2.074589e-06,0,2.008487,1.0109946,0
5.082756e-07,6.5797116e-07,0,1.9923583,0.98953116,0
6.1574923e-07,1.1665747e-06,0,1.977405,0.96723294,0
