"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-2.4345391e-05,1.5101328e-08,0,3.8,0.40000001,0
-3.3769815e-05,-1.5065392e-06,0,2.7999849,0.40000001,0
9.5726746e-06,-6.7947426e-06,0,2.815268,0.42151758,0
-1.1011358e-05,-2.7539625e-05,0,2.8296173,0.44420925,0
1.9718295e-06,8.9378218e-06,0,2.8427279,0.4676384,0
-7.6179826e-06,-2.5600888e-05,0,2.854562,0.49173754,0
-3.933771e-06,-1.5092037e-05,0,2.8650856,0.51643711,0
-7.3466508e-06,-3.0662264e-05,0,2.8742683,0.54166603,0
-3.0123867e-06,-2.6026001e-07,0,2.8820834,0.5673514,0
1.2944894e-06,7.1458908e-06,0,2.8885086,0.59341919,0
-2.5455665e-06,-1.6250962e-05,0,2.8935251,0.61979437,0
1.3167382e-06,-9.1424427e-06,0,2.8971188,0.64640075,0
2.2293457e-07,-1.8377551e-06,0,2.8992791,0.67316169,0
1.392612e-07,-2.4086272e-05,0,2.9000001,0.69999999,0
-1.7512924e-06,8.5282118e-06,0,2.8992791,0.72683829,0
4.6095843e-06,-3.4866749e-05,0,2.8971188,0.75359923,0
1.9359572e-06,-9.7147558e-06,0,2.8935251,0.78020567,0
-6.7888509e-06,3.3380118e-05,0,2.8885086,0.80658078,0
3.3474355e-06,-9.0010617e-06,0,2.8820834,0.83264863,0
6.3592972e-07,-2.3821235e-06,0,2.8742683,0.858334,0
1.3835468e-06,-3.9360275e-06,0,2.8650856,0.88356286,0
4.3960125e-07,-1.3300513e-06,0,2.854562,0.90826243,0
-2.6812374e-06,4.556834e-06,0,2.8427279,0.9323616,0
2.9071257e-06,-4.8663114e-06,0,2.8296173,0.95579076,0
1.725313e-06,-2.6628747e-06,0,2.815268,0.97848243,0
-1.5326748e-06,1.8511823e-06,0,2.7997215,1.0003711,0
4.0577293e-06,-5.0196454e-06,0,2.7830222,1.0213938,0
2.6229234e-06,-2.7994768e-06,0,2.7652187,1.0414898,0
1.9089773e-06,-2.1422436e-06,0,2.7463622,1.0606012,0
7.1353752e-06,-6.5246531e-06,0,2.7265069,1.0786729,0
5.0312465e-06,-4.1152357e-06,0,2.7057104,1.0956528,0
1.2308902e-06,-9.7007785e-07,0,2.6840324,1.1114919,0
1.6928501e-06,-1.3756718e-06,0,2.6615355,1.1261446,0
2.9223306e-06,-1.6118155e-06,0,2.6382844,1.1395686,0
6.6242392e-06,-3.5598152e-06,0,2.6143463,1.1517252,0
-1.50525e-06,5.2842427e-07,0,2.5897901,1.1625794,0
3.5344294e-06,-1.504108e-06,0,2.5646868,1.1720998,0
9.8742294e-07,-5.71467e-08,0,2.5391088,1.1802591,0
2.0110106e-06,-3.3628297e-07,0,2.5131295,1.1870335,0
-7.0860648e-07,-1.0107726e-07,0,2.486824,1.1924039,0
-1.410341e-06,1.7661455e-07,0,2.4602683,1.1963544,0
6.7147676e-06,-2.4031797e-07,0,2.4335389,1.1988739,0
1.3940839e-06,5.5061783e-08,0,2.4067125,1.199955,0
-1.5061654e-06,-1.2581458e-07,0,2.3798671,1.1995945,0
3.0417971e-06,3.9477391e-07,0,2.3530796,1.1977936,0
-1.2554124e-06,-1.1033168e-07,0,2.3264272,1.1945574,0
5.092586e-07,-3.2786573e-08,0,2.2999871,1.1898953,0
3.3965555e-06,1.115416e-06,0,2.2738354,1.1838207,0
-4.9903356e-06,-1.8337188e-06,0,2.2480474,1.1763512,0
-7.2080593e-07,-2.6485731e-07,0,2.2226975,1.1675081,0
1.6056046e-06,7.8816834e-07,0,2.1978588,1.1573172,0
3.4369493e-06,1.7260763e-06,0,2.1736031,1.1458076,0
7.8224326e-07,3.9983024e-07,0,2.1500001,1.1330127,0
5.7582469e-07,4.1927566e-07,0,2.1271176,1.1189693,0
1.5585771e-06,1.3411527e-06,0,2.1050222,1.1037179,0
2.6469957e-07,3.3340208e-07,0,2.0837774,1.0873024,0
5.4971093e-07,5.5087042e-07,0,2.0634441,1.0697703,0
2.868115e-06,3.2616142e-06,0,2.0440812,1.0511721,0
1.3826262e-07,2.3293262e-07,0,2.0257447,1.0315614,0
1.2390433e-06,1.5907965e-06,0,2.008487,1.0109946,0
4.3548272e-07,5.7321819e-07,0,1.9923583,0.98953116,0
5.2917886e-07,9.5876271e-07,0,1.977405,0.96723294,0
-9.0328726e-08,3.1257184e-07,0,1.96367,0.94416416,0
3.7430675e-07,8.8961934e-07,0,1.9511931,0.92039144,0
