"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-7.9380807e-05,1.3398018e-08,0,3.8,0.40000001,0
-0.00019653152,0.00014163138,0,2.7999849,0.40000001,0
0.00010134067,0.00014860679,0,2.815268,0.42151758,0
3.2269527e-06,3.1997686e-05,0,2.8296173,0.44420925,0
9.4785246e-06,2.539749e-05,0,2.8427279,0.4676384,0
-4.6196665e-06,-2.2428743e-05,0,2.854562,0.49173754,0
-1.8258029e-06,-1.4548438e-05,0,2.8650856,0.51643711,0
-7.6346205e-06,-3.4034852e-05,0,2.8742683,0.54166603,0
-4.304195e-06,-7.1696945e-06,0,2.8820834,0.5673514,0
1.2551188e-06,5.6983527e-06,0,2.8885086,0.59341919,0
-2.7973247e-06,-2.0246993e-05,0,2.8935251,0.61979437,0
1.8005054e-06,-1.2473768e-05,0,2.8971188,0.64640075,0
4.6851918e-07,-4.7029725e-06,0,2.8992791,0.67316169,0
5.907284e-07,-3.3088527e-05,0,2.9000001,0.69999999,0
-1.670472e-06,6.4431415e-06,0,2.8992791,0.72683829,0
6.4408582e-06,-4.4313274e-05,0,2.8971188,0.75359923,0
2.9443531e-06,-1.437094e-05,0,2.8935251,0.78020567,0
-7.7069772e-06,3.8050901e-05,0,2.8885086,0.80658078,0
4.8550105e-06,-1.30867e-05,0,2.8820834,0.83264863,0
2.0611192e-06,-6.1147598e-06,0,2.8742683,0.858334,0
2.5827592e-06,-6.8500026e-06,0,2.8650856,0.88356286,0
1.6838637e-06,-3.8741105e-06,0,2.854562,0.90826243,0
-1.4974604e-06,2.320809e-06,0,2.8427279,0.9323616,0
4.5485172e-06,-7.4078816e-06,0,2.8296173,0.95579076,0
3.5124347e-06,-5.2093055e-06,0,2.815268,0.97848243,0
-8.3361221e-07,9.8876751e-07,0,2.7997215,1.0003711,0
6.2553313e-06,-7.5544344e-06,0,2.7830222,1.0213938,0
3.698643e-06,-3.9584388e-06,0,2.7652187,1.0414898,0
4.1492854e-06,-4.2486017e-06,0,2.7463622,1.0606012,0
9.3798781e-06,-8.4447893e-06,0,2.7265069,1.0786729,0
7.0218157e-06,-5.679502e-06,0,2.7057104,1.0956528,0
2.5085301e-06,-1.8555907e-06,0,2.6840324,1.1114919,0
3.488658e-06,-2.4770393e-06,0,2.6615355,1.1261446,0
4.6086207e-06,-2.5083148e-06,0,2.6382844,1.1395686,0
8.4735748e-06,-4.452299e-06,0,2.6143463,1.1517252,0
-3.4383771e-07,2.4718316e-08,0,2.5897901,1.1625794,0
5.3815074e-06,-2.1791818e-06,0,2.5646868,1.1720998,0
2.4397157e-06,-4.4351782e-07,0,2.5391088,1.1802591,0
3.5517974e-06,-6.9596069e-07,0,2.5131295,1.1870335,0
6.5715278e-07,-3.0149283e-07,0,2.486824,1.1924039,0
-7.1999574e-07,8.6480235e-08,0,2.4602683,1.1963544,0
8.0384652e-06,-2.9504326e-07,0,2.4335389,1.1988739,0
2.4805217e-06,1.9948105e-08,0,2.4067125,1.199955,0
-3.0119628e-07,-9.4960484e-09,0,2.3798671,1.1995945,0
4.2294942e-06,5.3762352e-07,0,2.3530796,1.1977936,0
-1.0935726e-07,8.5561162e-08,0,2.3264272,1.1945574,0
1.5399504e-06,1.3583512e-07,0,2.2999871,1.1898953,0
4.7415074e-06,1.485239e-06,0,2.2738354,1.1838207,0
-4.455148e-06,-1.6525122e-06,0,2.2480474,1.1763512,0
1.3067472e-07,7.6542143e-08,0,2.2226975,1.1675081,0
3.0821698e-06,1.4748656e-06,0,2.1978588,1.1573172,0
4.7203634e-06,2.4144531e-06,0,2.1736031,1.1458076,0
1.7086211e-06,9.6969984e-07,0,2.1500001,1.1330127,0
1.5642951e-06,1.1070639e-06,0,2.1271176,1.1189693,0
2.704402e-06,2.2442482e-06,0,2.1050222,1.1037179,0
1.4827767e-06,1.3462294e-06,0,2.0837774,1.0873024,0
