"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-2.7004739e-05,1.1996499e-08,0,3.8,0.40000001,0
-3.6205951e-05,-6.5224242e-07,0,2.7999849,0.40000001,0
1.1190989e-05,-7.2729922e-06,0,2.815268,0.42151758,0
-1.1274968e-05,-2.8422361e-05,0,2.8296173,0.44420925,0
2.0692485e-06,8.4626754e-06,0,2.8427279,0.4676384,0
-8.4272069e-06,-2.7467277e-05,0,2.854562,0.49173754,0
-4.5333131e-06,-1.6661876e-05,0,2.8650856,0.51643711,0
-8.274731e-06,-3.2986813e-05,0,2.8742683,0.54166603,0
-3.2671221e-06,-1.3987102e-06,0,2.8820834,0.5673514,0
1.3104597e-06,6.9491912e-06,0,2.8885086,0.59341919,0
-2.9502155e-06,-1.8138233e-05,0,2.8935251,0.61979437,0
1.3583227e-06,-1.0774314e-05,0,2.8971188,0.64640075,0
2.3799976e-07,-2.6490784e-06,0,2.8992791,0.67316169,0
1.1551214e-07,-2.7333954e-05,0,2.9000001,0.69999999,0
-1.8275729e-06,8.9564419e-06,0,2.8992791,0.72683829,0
5.1390261e-06,-3.9560997e-05,0,2.8971188,0.75359923,0
2.2385757e-06,-1.1409854e-05,0,2.8935251,0.78020567,0
-7.4479799e-06,3.7224727e-05,0,2.8885086,0.80658078,0
3.9150809e-06,-1.0727246e-05,0,2.8820834,0.83264863,0
8.951373e-07,-3.1315824e-06,0,2.8742683,0.858334,0
1.6979174e-06,-4.8128863e-06,0,2.8650856,0.88356286,0
6.1925755e-07,-1.8438997e-06,0,2.854562,0.90826243,0
-2.8873214e-06,5.0061221e-06,0,2.8427279,0.9323616,0
3.5434146e-06,-5.9589906e-06,0,2.8296173,0.95579076,0
2.206295e-06,-3.386456e-06,0,2.815268,0.97848243,0
-1.6997254e-06,2.0368311e-06,0,2.7997215,1.0003711,0
4.9705213e-06,-6.1854375e-06,0,2.7830222,1.0213938,0
3.1982165e-06,-3.501588e-06,0,2.7652187,1.0414898,0
2.3952427e-06,-2.7230117e-06,0,2.7463622,1.0606012,0
8.6263453e-06,-7.8840058e-06,0,2.7265069,1.0786729,0
6.1667824e-06,-5.0399253e-06,0,2.7057104,1.0956528,0
1.6047161e-06,-1.2550952e-06,0,2.6840324,1.1114919,0
2.2007305e-06,-1.7545311e-06,0,2.6615355,1.1261446,0
3.6280078e-06,-2.0032032e-06,0,2.6382844,1.1395686,0
7.9989522e-06,-4.2905649e-06,0,2.6143463,1.1517252,0
-1.6445642e-06,5.5251542e-07,0,2.5897901,1.1625794,0
4.3260584e-06,-1.84774e-06,0,2.5646868,1.1720998,0
1.2601553e-06,-1.2609301e-07,0,2.5391088,1.1802591,0
2.4709475e-06,-4.3954893e-07,0,2.5131295,1.1870335,0
-7.9118598e-07,-1.4711559e-07,0,2.486824,1.1924039,0
-1.6521891e-06,1.932879e-07,0,2.4602683,1.1963544,0
7.7195991e-06,-2.6543731e-07,0,2.4335389,1.1988739,0
1.5842541e-06,5.8646915e-08,0,2.4067125,1.199955,0
-1.7325401e-06,-1.6255271e-07,0,2.3798671,1.1995945,0
3.4403799e-06,4.5198021e-07,0,2.3530796,1.1977936,0
-1.4389325e-06,-1.4602202e-07,0,2.3264272,1.1945574,0
5.8968635e-07,-3.7071462e-08,0,2.2999871,1.1898953,0
3.8162098e-06,1.2662871e-06,0,2.2738354,1.1838207,0
-5.4684406e-06,-2.0334328e-06,0,2.2480474,1.1763512,0
-7.2389878e-07,-2.636242e-07,0,2.2226975,1.1675081,0
1.8579925e-06,9.1747881e-07,0,2.1978588,1.1573172,0
3.8894641e-06,1.9770443e-06,0,2.1736031,1.1458076,0
9.6805502e-07,5.1527456e-07,0,2.1500001,1.1330127,0
7.3673783e-07,5.3718878e-07,0,2.1271176,1.1189693,0
1.8142066e-06,1.5372832e-06,0,2.1050222,1.1037179,0
3.9951993e-07,4.2937978e-07,0,2.0837774,1.0873024,0
7.0428143e-07,6.7931097e-07,0,2.0634441,1.0697703,0
3.1840787e-06,3.5741464e-06,0,2.0440812,1.0511721,0
2.2475142e-07,2.8912112e-07,0,2.0257447,1.0315614,0
1.397731e-06,1.75103e-06,0,2.008487,1.0109946,0
4.9577238e-07,6.0659949e-07,0,1.9923583,0.98953116,0
5.9714756e-07,1.0468833e-06,0,1.977405,0.96723294,0
-1.0816616e-07,2.9201061e-07,0,1.96367,0.94416416,0
3.6701189e-07,8.5565171e-07,0,1.9511931,0.92039144,0
3.1293524e-07,7.4973963e-07,0,1.9400103,0.89598328,0
6.2262103e-07,1.7486425e-06,0,1.9301537,0.87101007,0
-8.2800796e-07,-2.4123606e-06,0,1.9216518,0.8455438,0
-4.7747903e-07,-1.31646e-06,0,1.9145291,0.8196578,0
6.6276634e-08,5.3709601e-07,0,1.9088061,0.79342687,0
-1.3840153e-08,5.8556196e-07,0,1.9044994,0.76692659,0
1.9789719e-07,2.9764617e-06,0,1.9016213,0.7402333,0
1.2419827e-07,3.8429471e-06,0,1.9001802,0.71342397,0
-3.0205953e-08,1.3417634e-06,0,1.9001802,0.68657601,0
-2.3412802e-07,3.5903142e-06,0,1.9016213,0.65976673,0
-1.1883113e-07,7.5282355e-07,0,1.9044994,0.63307345,0
3.0164932e-07,-1.2296945e-06,0,1.9088061,0.6065731,0
7.6795679e-08,-2.2842421e-07,0,1.9145291,0.58034217,0
-5.5263519e-07,1.5428755e-06,0,1.9216518,0.55445623,0
-8.5350536e-07,2.729347e-06,0,1.9301537,0.52898991,0
-1.795388e-07,2.8889882e-08,0,1.9400103,0.5040167,0
-3.2070491e-07,5.024832e-07,0,1.9511931,0.47960854,0
-1.8270313e-06,3.6968825e-06,0,1.96367,0.45583582,0
-5.7884181e-06,4.7323247e-06,0,1.977405,0.43276709,0
4.1337746e-05,-5.6678939e-08,0,1.9923583,0.41046885,0
1.6980665,0.2565465,0,2.0002251,0.40000001,0
0.0017272735,-8.5958731e-05,0,0,0.40000001,0
0.00015073085,-9.2875798e-06,0,0,0,0
5.9081507e-05,-2.2751963e-09,0,3.8,0,0
-0.0001381231,-3.8618293e-07,0,1.9,0,0
1.3421138e-05,3.0080706e-08,0,1.1621326,0.40000001,0
1.8859631e-05,-1.8689502e-07,0,3.2222693,0.40000001,0
-9.2306364e-05,3.8030095e-07,0,2.8499999,0,0
4.1782547e-05,1.892292e-07,0,0.94999999,0,0
-8.8248067e-05,1.0781185e-07,0,1.5811789,0.40000001,0
-5.3066287e-05,6.0126064e-07,0,3.0111272,0.40000001,0
