"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-4.4508666e-05,5.6651231e-08,0,3.8,0.40000001,0
-6.2064239e-05,-3.9499851e-06,0,2.7999849,0.40000001,0
1.7770497e-05,-1.442037e-05,0,2.815268,0.42151758,0
-2.0259689e-05,-4.925716e-05,0,2.8296173,0.44420925,0
4.2397858e-07,1.192338e-05,0,2.8427279,0.4676384,0
-1.140486e-05,-4.3003882e-05,0,2.854562,0.49173754,0
-5.5947571e-06,-2.4981382e-05,0,2.8650856,0.51643711,0
-9.7941493e-06,-4.9025813e-05,0,2.8742683,0.54166603,0
-5.3899344e-06,-4.6095151e-06,0,2.8820834,0.5673514,0
1.5892587e-06,8.6223245e-06,0,2.8885086,0.59341919,0
-3.0700362e-06,-2.3537397e-05,0,2.8935251,0.61979437,0
1.7526428e-06,-1.3544041e-05,0,2.8971188,0.64640075,0
3.9276813e-07,-3.2849848e-06,0,2.8992791,0.67316169,0
1.8561344e-07,-3.487822e-05,0,2.9000001,0.69999999,0
-2.0996542e-06,1.1451422e-05,0,2.8992791,0.72683829,0
6.4256278e-06,-5.154726e-05,0,2.8971188,0.75359923,0
2.9013947e-06,-1.5434069e-05,0,2.8935251,0.78020567,0
-9.2591799e-06,4.8047186e-05,0,2.8885086,0.80658078,0
5.4270513e-06,-1.5268271e-05,0,2.8820834,0.83264863,0
1.5108919e-06,-4.9449877e-06,0,2.8742683,0.858334,0
2.3896898e-06,-6.7843071e-06,0,2.8650856,0.88356286,0
1.0071742e-06,-3.0305687e-06,0,2.854562,0.90826243,0
-3.6279889e-06,6.5560821e-06,0,2.8427279,0.9323616,0
5.2180312e-06,-8.8308279e-06,0,2.8296173,0.95579076,0
3.4277041e-06,-5.2303553e-06,0,2.815268,0.97848243,0
-2.3685914e-06,2.8802419e-06,0,2.7997215,1.0003711,0
7.4372515e-06,-9.2184746e-06,0,2.7830222,1.0213938,0
4.6459336e-06,-5.0627937e-06,0,2.7652187,1.0414898,0
3.9275264e-06,-4.3354048e-06,0,2.7463622,1.0606012,0
1.2641982e-05,-1.1563548e-05,0,2.7265069,1.0786729,0
9.1349657e-06,-7.4533432e-06,0,2.7057104,1.0956528,0
2.3898008e-06,-1.8598151e-06,0,2.6840324,1.1114919,0
3.4771576e-06,-2.7006674e-06,0,2.6615355,1.1261446,0
5.3692206e-06,-2.94658e-06,0,2.6382844,1.1395686,0
1.1512495e-05,-6.1480837e-06,0,2.6143463,1.1517252,0
-2.380046e-06,7.8616506e-07,0,2.5897901,1.1625794,0
6.2844588e-06,-2.6506325e-06,0,2.5646868,1.1720998,0
1.8149774e-06,-1.4812052e-07,0,2.5391088,1.1802591,0
3.876753e-06,-6.4035851e-07,0,2.5131295,1.1870335,0
-8.6270796e-07,-2.5506847e-07,0,2.486824,1.1924039,0
-2.1066166e-06,2.4492141e-07,0,2.4602683,1.1963544,0
1.0565652e-05,-2.8933292e-07,0,2.4335389,1.1988739,0
2.4166345e-06,8.7932747e-08,0,2.4067125,1.199955,0
-2.0522998e-06,-2.4547759e-07,0,2.3798671,1.1995945,0
