"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-7.417598e-05,3.4412714e-08,0,3.8,0.40000001,0
-0.000131508,2.1720367e-05,0,2.7999849,0.40000001,0
5.4288168e-05,4.5954066e-06,0,2.815268,0.42151758,0
-2.5000953e-05,-6.2272855e-05,0,2.8296173,0.44420925,0
8.8720446e-07,1.5193245e-05,0,2.8427279,0.4676384,0
-1.5819023e-05,-6.0281724e-05,0,2.854562,0.49173754,0
-7.8945804e-06,-3.5134832e-05,0,2.8650856,0.51643711,0
-1.4104881e-05,-6.8989822e-05,0,2.8742683,0.54166603,0
-8.8112693e-06,-1.196801e-05,0,2.8820834,0.5673514,0
1.9228737e-06,1.0625689e-05,0,2.8885086,0.59341919,0
-4.2908355e-06,-3.3682525e-05,0,2.8935251,0.61979437,0
3.0409628e-06,-1.8002023e-05,0,2.8971188,0.64640075,0
6.9955684e-07,-4.0842633e-06,0,2.8992791,0.67316169,0
1.0644462e-06,-4.7438178e-05,0,2.9000001,0.69999999,0
-2.9634195e-06,1.4632891e-05,0,2.8992791,0.72683829,0
9.1549655e-06,-6.6073575e-05,0,2.8971188,0.75359923,0
3.9031702e-06,-1.9526531e-05,0,2.8935251,0.78020567,0
-1.1803569e-05,5.9035334e-05,0,2.8885086,0.80658078,0
6.8176173e-06,-1.8691744e-05,0,2.8820834,0.83264863,0
1.8921494e-06,-6.2978215e-06,0,2.8742683,0.858334,0
2.8521154e-06,-8.0858681e-06,0,2.8650856,0.88356286,0
1.5288699e-06,-4.3175387e-06,0,2.854562,0.90826243,0
-4.4513199e-06,7.4474265e-06,0,2.8427279,0.9323616,0
6.365226e-06,-1.0601121e-05,0,2.8296173,0.95579076,0
4.0938844e-06,-6.3026919e-06,0,2.815268,0.97848243,0
-2.3564876e-06,2.7170818e-06,0,2.7997215,1.0003711,0
8.3438499e-06,-1.0269511e-05,0,2.7830222,1.0213938,0
5.389385e-06,-5.5913338e-06,0,2.7652187,1.0414898,0
4.3195855e-06,-4.8008205e-06,0,2.7463622,1.0606012,0
1.2622359e-05,-1.1255623e-05,0,2.7265069,1.0786729,0
9.021338e-06,-7.1370109e-06,0,2.7057104,1.0956528,0
2.3440598e-06,-1.7661878e-06,0,2.6840324,1.1114919,0
3.6777481e-06,-2.6383505e-06,0,2.6615355,1.1261446,0
4.8842403e-06,-2.5780732e-06,0,2.6382844,1.1395686,0
9.9672379e-06,-5.0819258e-06,0,2.6143463,1.1517252,0
-1.6546492e-06,4.5290986e-07,0,2.5897901,1.1625794,0
5.2105966e-06,-2.1302928e-06,0,2.5646868,1.1720998,0
1.3601519e-06,-1.4934803e-07,0,2.5391088,1.1802591,0
3.1251418e-06,-4.9802628e-07,0,2.5131295,1.1870335,0
-2.2785731e-07,-2.4590622e-07,0,2.486824,1.1924039,0
-1.2931405e-06,1.4948084e-07,0,2.4602683,1.1963544,0
7.0438709e-06,-1.4278532e-07,0,2.4335389,1.1988739,0
1.7387759e-06,4.5767631e-08,0,2.4067125,1.199955,0
-1.1808313e-06,-1.5698409e-07,0,2.3798671,1.1995945,0
3.011477e-06,4.0058151e-07,0,2.3530796,1.1977936,0
-1.057925e-06,-1.3105107e-07,0,2.3264272,1.1945574,0
6.3602278e-07,-1.3305625e-08,0,2.2999871,1.1898953,0
3.2434696e-06,1.045449e-06,0,2.2738354,1.1838207,0
-4.3309992e-06,-1.6033727e-06,0,2.2480474,1.1763512,0
-4.8486208e-07,-1.6883827e-07,0,2.2226975,1.1675081,0
1.750238e-06,8.461252e-07,0,2.1978588,1.1573172,0
3.3034073e-06,1.6471161e-06,0,2.1736031,1.1458076,0
7.7154522e-07,3.8338811e-07,0,2.1500001,1.1330127,0
6.3732483e-07,4.5123994e-07,0,2.1271176,1.1189693,0
1.6771817e-06,1.4193873e-06,0,2.1050222,1.1037179,0
5.118988e-07,5.5179402e-07,0,2.0837774,1.0873024,0
7.1513745e-07,7.1181682e-07,0,2.0634441,1.0697703,0
3.2122168e-06,3.5621954e-06,0,2.0440812,1.0511721,0
3.6781807e-07,4.8787501e-07,0,2.0257447,1.0315614,0
1.6073279e-06,2.0133098e-06,0,2.008487,1.0109946,0
6.7243127e-07,9.0741509e-07,0,1.9923583,0.98953116,0
8.547064e-07,1.4196844e-06,0,1.977405,0.96723294,0
1.6765368e-07,7.9733411e-07,0,1.96367,0.94416416,0
7.1430628e-07,1.6005752e-06,0,1.9511931,0.92039144,0
6.2072968e-07,1.4991533e-06,0,1.9400103,0.89598328,0
1.0205081e-06,2.8407419e-06,0,1.9301537,0.87101007,0
-7.0695512e-07,-1.6909516e-06,0,1.9216518,0.8455438,0
-2.9515306e-07,-3.0005381e-07,0,1.9145291,0.8196578,0
2.8524209e-07,1.813757e-06,0,1.9088061,0.79342687,0
1.2950319e-07,1.9209779e-06,0,1.9044994,0.76692659,0
3.7234966e-07,4.8264264e-06,0,1.9016213,0.7402333,0
2.4450668e-07,5.9002323e-06,0,1.9001802,0.71342397,0
-1.1724163e-08,2.9887194e-06,0,1.9001802,0.68657601,0
-3.4362853e-07,6.0572956e-06,0,1.9016213,0.65976673,0
-3.3300893e-07,2.3420457e-06,0,1.9044994,0.63307345,0
1.0938429e-07,-8.6005564e-08,0,1.9088061,0.6065731,0
-2.7160129e-07,1.3878462e-06,0,1.9145291,0.58034217,0
-1.3213619e-06,4.2795341e-06,0,1.9216518,0.55445623,0
-1.9438976e-06,6.4571873e-06,0,1.9301537,0.52898991,0
-1.3945324e-06,2.9719984e-06,0,1.9400103,0.5040167,0
-1.9157358e-06,4.3696427e-06,0,1.9511931,0.47960854,0
-4.9359528e-06,1.034558e-05,0,1.96367,0.45583582,0
-1.3406073e-05,1.4389198e-05,0,1.977405,0.43276709,0
0.00012613303,6.3411435e-06,0,1.9923583,0.41046885,0
4.1880393,0.61966342,0,2.0002251,0.40000001,0
0.0043372936,-0.00013501781,0,0,0.40000001,0
0.0003728804,-1.4825908e-05,0,0,0,0
0.00016785,1.1597856e-07,0,3.8,0,0
-0.0003993719,-1.2453016e-06,0,1.9,0,0
3.615873e-05,1.6573436e-07,0,1.1621326,0.40000001,0
4.8017031e-05,-3.429233e-07,0,3.2222693,0.40000001,0
-0.00028986437,1.0954783e-06,0,2.8499999,0,0
0.00011322266,5.4271993e-07,0,0.94999999,0,0
-0.00026090714,4.6979511e-07,0,1.5811789,0.40000001,0
-0.00015433693,2.3086468e-06,0,3.0111272,0.40000001,0
-1.2702658e-05,-1.7234733e-08,0,3.325,0,0
2.8518209e-05,-6.8713587e-07,0,0.58106631,0.40000001,0
8.8270695e-05,4.1970901e-07,0,1.425,0,0
-0.00026036898,-9.6511684e-08,0,1.790702,0.40000001,0
-0.00010431498,2.9651437e-06,0,2.905556,0.40000001,0
-0.00030992014,-3.0418319e-06,0,0.47499999,0,0
-4.7397425e-05,-1.7444755e-07,0,1.8954636,0.40000001,0
-0.00029697234,1.4732891e-05,0,2.8527706,0.40000001,0
-7.1630261e-06,2.3418556e-07,0,1.9478444,0.40000001,0
-0.00027656212,1.2649878e-05,0,2.8263779,0.40000001,0
2.3834386e-05,1.1667169e-06,0,1.9740348,0.40000001,0
-0.00013990162,9.0029107e-06,0,1.9871299,0.40000001,0
1.6520127,-3.441103,0,2.4000707,0.70005602,0
-0.00010973879,-3.0946887e-07,0,2.375,0,0
46.826435,0.54012191,0,2.448334,0.34785068,0
-0.00026407576,3.8593569e-07,0,3.5111346,0.40000001,0
-0.00012260204,-1.0052731e-07,0,3.5625,0,0
-0.00026874905,-7.6599599e-06,0,0.2375,0,0
-0.00029174998,6.7779306e-06,0,0.29053316,0.40000001,0
-9.2242599e-06,9.3605035e-09,0,0.87159944,0.40000001,0
