"f_27:0","f_27:1","f_27:2","Points:0","Points:1","Points:2"
-2.5415889e-05,5.2652616e-08,0,3.8,0.40000001,0
-3.4744375e-05,-1.0264025e-06,0,2.7999849,0.40000001,0
1.01943e-05,-7.5576263e-06,0,2.815268,0.42151758,0
-1.121771e-05,-2.8001907e-05,0,2.8296173,0.44420925,0
1.9985202e-06,8.5105366e-06,0,2.8427279,0.4676384,0
-8.1947401e-06,-2.6742158e-05,0,2.854562,0.49173754,0
-4.3579503e-06,-1.6035878e-05,0,2.8650856,0.51643711,0
-7.9233196e-06,-3.2019034e-05,0,2.8742683,0.54166603,0
-3.3238462e-06,-9.7153497e-07,0,2.8820834,0.5673514,0
1.2665174e-06,6.9945086e-06,0,2.8885086,0.59341919,0
-2.7129736e-06,-1.727227e-05,0,2.8935251,0.61979437,0
1.3866249e-06,-9.7495013e-06,0,2.8971188,0.64640075,0
2.3706336e-07,-2.2092347e-06,0,2.8992791,0.67316169,0
2.1408077e-07,-2.5248768e-05,0,2.9000001,0.69999999,0
-1.7505602e-06,8.4911071e-06,0,2.8992791,0.72683829,0
4.8035208e-06,-3.6143912e-05,0,2.8971188,0.75359923,0
2.016852e-06,-1.0238277e-05,0,2.8935251,0.78020567,0
-6.9181283e-06,3.4168588e-05,0,2.8885086,0.80658078,0
3.5160597e-06,-9.5873911e-06,0,2.8820834,0.83264863,0
7.4191166e-07,-2.6772975e-06,0,2.8742683,0.858334,0
1.4957545e-06,-4.2616543e-06,0,2.8650856,0.88356286,0
5.0709019e-07,-1.5464444e-06,0,2.854562,0.90826243,0
-2.704757e-06,4.6438022e-06,0,2.8427279,0.9323616,0
3.1217182e-06,-5.2679234e-06,0,2.8296173,0.95579076,0
1.9003242e-06,-2.9277946e-06,0,2.815268,0.97848243,0
-1.5801589e-06,1.9092249e-06,0,2.7997215,1.0003711,0
4.393823e-06,-5.4552788e-06,0,2.7830222,1.0213938,0
2.8371751e-06,-3.0794388e-06,0,2.7652187,1.0414898,0
2.0875727e-06,-2.3668433e-06,0,2.7463622,1.0606012,0
7.6816577e-06,-7.0233223e-06,0,2.7265069,1.0786729,0
5.4569118e-06,-4.4537096e-06,0,2.7057104,1.0956528,0
1.3824135e-06,-1.073993e-06,0,2.6840324,1.1114919,0
1.9031222e-06,-1.5160365e-06,0,2.6615355,1.1261446,0
3.2304456e-06,-1.77122e-06,0,2.6382844,1.1395686,0
7.1985464e-06,-3.8546818e-06,0,2.6143463,1.1517252,0
-1.480601e-06,5.0727209e-07,0,2.5897901,1.1625794,0
3.926345e-06,-1.6742591e-06,0,2.5646868,1.1720998,0
1.1903911e-06,-1.267356e-07,0,2.5391088,1.1802591,0
2.2908202e-06,-4.1749874e-07,0,2.5131295,1.1870335,0
-6.4678613e-07,-1.4422056e-07,0,2.486824,1.1924039,0
-1.4137197e-06,1.6111211e-07,0,2.4602683,1.1963544,0
7.2383095e-06,-2.7170304e-07,0,2.4335389,1.1988739,0
1.5735209e-06,3.9530896e-08,0,2.4067125,1.199955,0
-1.5065991e-06,-1.4130642e-07,0,2.3798671,1.1995945,0
3.3067738e-06,4.2006306e-07,0,2.3530796,1.1977936,0
-1.2295631e-06,-1.1455815e-07,0,2.3264272,1.1945574,0
6.5026637e-07,-2.4901778e-08,0,2.2999871,1.1898953,0
3.6556501e-06,1.1845334e-06,0,2.2738354,1.1838207,0
-5.1424313e-06,-1.9142904e-06,0,2.2480474,1.1763512,0
-6.9552186e-07,-2.6536932e-07,0,2.2226975,1.1675081,0
1.7087483e-06,8.3221914e-07,0,2.1978588,1.1573172,0
3.6183301e-06,1.8034856e-06,0,2.1736031,1.1458076,0
8.2900465e-07,4.0975937e-07,0,2.1500001,1.1330127,0
6.1452499e-07,4.4608828e-07,0,2.1271176,1.1189693,0
1.6394791e-06,1.4108903e-06,0,2.1050222,1.1037179,0
3.1844456e-07,3.6286281e-07,0,2.0837774,1.0873024,0
6.2079346e-07,6.0953607e-07,0,2.0634441,1.0697703,0
3.0072067e-06,3.3971178e-06,0,2.0440812,1.0511721,0
1.8474475e-07,2.7181881e-07,0,2.0257447,1.0315614,0
1.3151331e-06,1.6776005e-06,0,2.008487,1.0109946,0
4.7672734e-07,6.0972627e-07,0,1.9923583,0.98953116,0
5.76682e-07,1.0228081e-06,0,1.977405,0.96723294,0
-6.9671721e-08,3.325745e-07,0,1.96367,0.94416416,0
4.0291755e-07,9.0158272e-07,0,1.9511931,0.92039144,0
3.4723675e-07,8.0958461e-07,0,1.9400103,0.89598328,0
6.3366264e-07,1.7715782e-06,0,1.9301537,0.87101007,0
-7.4704042e-07,-2.1227256e-06,0,1.9216518,0.8455438,0
-4.1266219e-07,-1.0698039e-06,0,1.9145291,0.8196578,0
1.2099963e-07,6.8019483e-07,0,1.9088061,0.79342687,0
